state_name,year,month,temp_mean,temp_max,rainfall_mm,n_fires
Australian Capital Territory,2002,7,5.487096774193549,-1.5741935483870968,NA,NA
Australian Capital Territory,2002,8,6.701612903225807,-1.3483870967741935,NA,NA
Australian Capital Territory,2002,9,9.95,2.243333333333333,NA,NA
Australian Capital Territory,2002,10,13.095161290322581,4.848387096774194,NA,NA
Australian Capital Territory,2002,11,19.080000000000002,10.676666666666668,NA,NA
Australian Capital Territory,2002,12,19.770967741935486,11.40967741935484,NA,NA
Australian Capital Territory,2003,1,22.029032258064518,13.519354838709678,NA,405
Australian Capital Territory,2003,2,22.207142857142856,15.207142857142857,NA,NA
Australian Capital Territory,2003,3,16.57741935483871,9.496774193548386,NA,NA
Australian Capital Territory,2003,4,13.665000000000001,7.1433333333333335,NA,NA
Australian Capital Territory,2003,5,10.69516129032258,4.161290322580645,NA,NA
Australian Capital Territory,2003,6,7.873333333333334,2.81,NA,NA
Australian Capital Territory,2003,7,6.470967741935484,0.7,NA,NA
Australian Capital Territory,2003,8,6.701612903225806,0.4806451612903226,NA,NA
Australian Capital Territory,2003,9,9.82,3.466666666666667,NA,NA
Australian Capital Territory,2003,10,10.996774193548386,4.467741935483871,NA,NA
Australian Capital Territory,2003,11,15.860000000000001,7.89,NA,NA
Australian Capital Territory,2003,12,20.016129032258064,13.022580645161291,NA,NA
Australian Capital Territory,2004,1,21.267741935483873,13.270967741935484,NA,2
Australian Capital Territory,2004,2,22.072413793103447,13.524137931034483,NA,NA
Australian Capital Territory,2004,3,18.419354838709676,10.103225806451613,NA,NA
Australian Capital Territory,2004,4,15.005,7.69,NA,NA
Australian Capital Territory,2004,5,8.96774193548387,1.2741935483870968,NA,3
Australian Capital Territory,2004,6,7.495,1.8966666666666667,NA,NA
Australian Capital Territory,2004,7,5.683870967741935,-0.7548387096774194,NA,NA
Australian Capital Territory,2004,8,7.974193548387097,1.2806451612903225,NA,NA
Australian Capital Territory,2004,9,10.138333333333334,3.1333333333333333,NA,NA
Australian Capital Territory,2004,10,13.224193548387097,6.274193548387097,NA,4
Australian Capital Territory,2004,11,16.078333333333333,8.763333333333334,NA,NA
Australian Capital Territory,2004,12,19.164516129032258,11.706451612903226,NA,NA
Australian Capital Territory,2005,1,21.366129032258065,13.635483870967741,NA,NA
Australian Capital Territory,2005,2,20.039285714285715,13.146428571428572,NA,NA
Australian Capital Territory,2005,3,16.927419354838708,9.6,NA,NA
Australian Capital Territory,2005,4,16.013333333333332,7.483333333333333,NA,NA
Australian Capital Territory,2005,5,9.967741935483872,1.5806451612903225,NA,3
Australian Capital Territory,2005,6,8.095,2.0533333333333332,NA,NA
Australian Capital Territory,2005,7,6.806451612903226,0.9387096774193548,NA,NA
Australian Capital Territory,2005,8,7.064516129032258,-0.19677419354838704,NA,NA
Australian Capital Territory,2005,9,10.023333333333333,3.743333333333333,NA,NA
Australian Capital Territory,2005,10,13.809677419354838,7.341935483870968,NA,NA
Australian Capital Territory,2005,11,16.548333333333332,10.293333333333333,NA,NA
