OBJECTID,X,Y
1303,-79.7821932,36.0971027
1304,-80.99399,35.480223
1305,-79.5803594,35.8517852
1306,-81.077145,35.7038328
1308,-81.2009782,35.7030579
1309,-80.5466278,35.4206465
1310,-79.8141166,35.6974517
1311,-79.9403322,35.8941335
1312,-78.857411,35.7283661
1313,-83.8235885,35.1985997
1315,-80.1538509,35.3633965
1316,-80.213721,35.3412045
1317,-80.2096888,35.3093565
1318,-80.2020647,35.3985075
1319,-80.1718569,35.3500084
1320,-76.9930002,36.2913865
1321,-79.4292924,35.1344669
1322,-76.9338338,36.3943391
1323,-76.9470705,36.3963108
1324,-77.9504631,35.7203544
1325,-76.9607008,35.5165775
1328,-77.9932678,34.738065
1329,-77.5418455,35.895816
1330,-83.2319481,35.3724126
1331,-76.3175165,35.4212633
1333,-77.3563932,34.5230479
1334,-80.8884278,35.780652
1335,-78.0181803,33.9864758
1337,-82.5732986,35.4709792
1338,-81.5562016,35.2923501
1339,-77.8468159,35.2257171
1340,-78.2818059,35.5365278
1343,-76.8904265,34.6874449
1345,-78.9958696,36.3926104
1346,-79.2896646,34.5386438
1348,-79.7571207,34.9290267
1349,-77.6471331,36.4388163
1351,-79.2185185,34.9797176
1353,-79.7625763,35.9634141
1356,-77.7445748,35.0523389
1357,-76.8576964,35.6025322
1359,-78.5691026,36.4469597
1360,-80.7333908,35.2844576
1361,-77.0989836,36.4457692
1364,-81.7199271,35.7592624
1365,-80.8083088,35.583804
1368,-83.0775924,35.5118235
1369,-79.0833959,34.6533617
1371,-81.5753047,35.4158378
1372,-79.458537,34.7825589
1373,-80.3622869,36.2835955
1374,-80.0742709,36.126803
1376,-80.0456973,36.0988121
1377,-78.1240173,35.5955944
1378,-77.4366363,36.4094805
1380,-77.5863971,35.4241993
1382,-76.474302,36.1784174
1385,-78.2018096,34.7282584
1387,-79.3290861,35.5892215
1388,-77.9971487,35.3805609
1389,-81.2224073,35.2625944
1390,-81.1944497,35.2720998
1391,-77.6409682,35.6720607
1392,-81.8303966,35.3324811
1393,-83.0776173,35.5117375
1394,-80.616256,35.4503717
1395,-80.5964397,35.4293521
1397,-80.4595279,35.3128374
1398,-80.5418858,35.3614269
1399,-80.6114036,35.4405378
1400,-80.0168118,36.1136458
1401,-82.9364851,35.5964122
1402,-80.377992,36.0229612
1403,-78.4652645,35.653485
1404,-78.6578102,34.4903299
1405,-77.0930382,35.5085815
1407,-81.3756502,35.383722
1408,-80.6420131,35.179042
1409,-80.843512,35.0921946
1410,-80.8351809,35.2824527
1412,-80.8263767,35.2105118
1415,-78.8266268,34.294033
1417,-77.3581218,34.7230487
1418,-79.4156589,36.2042943
1419,-79.3283061,36.1866306
1420,-82.7282631,35.244925
1421,-81.6889755,36.2206441
1423,-81.6711515,36.1312787
1424,-82.3212236,35.6188004
1425,-78.5419249,35.3807016
1426,-81.0609451,35.2393949
1428,-81.8801559,36.1963243
1429,-82.1159528,35.9644663
1431,-78.1144979,35.8213289
1433,-77.4165101,35.4723065
1434,-78.5911892,35.1041327
1435,-76.6552209,34.7264936
1437,-82.5930484,35.6351123
1438,-82.5615155,35.7120172
1439,-82.4720647,35.6307072
1442,-80.6730667,35.3755567
1443,-75.7295734,36.1291352
1444,-80.8038226,35.5805208
1445,-78.9741879,35.1549835
1446,-80.4817184,36.3785726
1447,-78.9392803,35.1364967
